Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb,ChlFluor,F_ChlFluor,Unnamed: 26,Unnamed: 24
noczbwq,P,01/07/2018 15:00,1.0,1.0,,1.0,<0> ,42.64,<0> ,26.3,<0> ,105.5,<0> ,12.5,<0> ,0.83,<0> ,0.61,<3> ,8.6,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/07/2018 15:15,1.0,1.0,,1.1,<0> ,42.54,<0> ,26.3,<0> ,106.0,<0> ,12.5,<0> ,0.78,<0> ,0.56,<3> ,8.6,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/07/2018 15:30,1.0,1.0,,1.1,<0> ,42.5,<0> ,26.3,<0> ,105.5,<0> ,12.5,<0> ,0.73,<0> ,0.51,<3> ,8.6,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/07/2018 15:45,1.0,1.0,,1.3,<0> ,42.44,<0> ,26.3,<0> ,105.2,<0> ,12.4,<0> ,0.69,<0> ,0.47,<3> ,8.6,<-3> [SQR] (CSM),7.0,<0> ,,<-1> ,,
noczbwq,P,01/08/2018 14:00,1.0,1.0,,2.9,<0> ,42.79,<0> ,26.7,<0> ,109.8,<0> ,12.3,<0> ,0.87,<0> ,0.75,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/08/2018 14:15,1.0,1.0,,3.3,<0> ,42.59,<0> ,26.7,<0> ,110.4,<0> ,12.3,<0> ,0.85,<0> ,0.73,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/08/2018 14:30,1.0,1.0,,3.2,<0> ,42.52,<0> ,26.6,<0> ,110.2,<0> ,12.3,<0> ,0.81,<0> ,0.69,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/08/2018 14:45,1.0,1.0,,3.4,<0> ,42.56,<0> ,26.7,<0> ,110.3,<0> ,12.3,<0> ,0.77,<0> ,0.65,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/08/2018 15:00,1.0,1.0,,3.4,<0> ,42.6,<0> ,26.7,<0> ,110.2,<0> ,12.3,<0> ,0.72,<0> ,0.6,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/08/2018 15:15,1.0,1.0,,3.5,<0> ,42.53,<0> ,26.6,<0> ,110.1,<0> ,12.2,<0> ,0.68,<0> ,0.57,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/08/2018 15:30,1.0,1.0,,3.2,<0> ,42.53,<0> ,26.6,<0> ,109.8,<0> ,12.3,<0> ,0.64,<0> ,0.53,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/08/2018 15:45,1.0,1.0,,3.7,<0> ,42.46,<0> ,26.6,<0> ,110.9,<0> ,12.2,<0> ,0.6,<0> ,0.49,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/09/2018 14:00,1.0,1.0,,8.2,<0> ,41.45,<0> ,26.3,<0> ,117.9,<0> ,11.7,<0> ,0.5,<0> ,0.4,<3> ,8.7,<-3> [SQR] (CSM),2.0,<0> ,,<-1> ,,
noczbwq,P,01/09/2018 14:15,1.0,1.0,,8.3,<0> ,41.46,<0> ,26.4,<0> ,118.7,<0> ,11.8,<0> ,0.57,<0> ,0.47,<3> ,8.7,<-3> [SQR] (CSM),2.0,<0> ,,<-1> ,,
noczbwq,P,01/09/2018 14:30,1.0,1.0,,8.2,<0> ,41.42,<0> ,26.3,<0> ,118.1,<0> ,11.7,<0> ,0.64,<0> ,0.54,<3> ,8.7,<-3> [SQR] (CSM),2.0,<0> ,,<-1> ,,
noczbwq,P,01/09/2018 14:45,1.0,1.0,,8.3,<0> ,41.41,<0> ,26.3,<0> ,117.7,<0> ,11.7,<0> ,0.69,<0> ,0.59,<3> ,8.7,<-3> [SQR] (CSM),2.0,<0> ,,<-1> ,,
noczbwq,P,01/09/2018 15:00,1.0,1.0,,9.6,<0> ,41.35,<0> ,26.4,<0> ,120.6,<0> ,11.6,<0> ,0.72,<0> ,0.62,<3> ,8.7,<-3> [SQR] (CSM),2.0,<0> ,,<-1> ,,
noczbwq,P,01/09/2018 15:15,1.0,1.0,,9.0,<0> ,41.25,<0> ,26.2,<0> ,119.2,<0> ,11.6,<0> ,0.71,<0> ,0.61,<3> ,8.7,<-3> [SQR] (CSM),2.0,<0> ,,<-1> ,,
noczbwq,P,01/09/2018 15:30,1.0,1.0,,8.8,<0> ,41.31,<0> ,26.3,<0> ,118.4,<0> ,11.6,<0> ,0.68,<0> ,0.58,<3> ,8.7,<-3> [SQR] (CSM),2.0,<0> ,,<-1> ,,
noczbwq,P,01/09/2018 15:45,1.0,1.0,,8.9,<0> ,41.33,<0> ,26.3,<0> ,118.5,<0> ,11.6,<0> ,0.65,<0> ,0.55,<3> ,8.7,<-3> [SQR] (CSM),2.0,<0> ,,<-1> ,,
noczbwq,P,01/10/2018 14:00,1.0,1.0,,10.8,<0> ,40.37,<0> ,25.7,<0> ,116.8,<0> ,11.0,<0> ,0.36,<0> ,0.24,<3> ,8.7,<-3> [SQR] (CSM),5.0,<0> ,,<-1> ,,
noczbwq,P,01/10/2018 14:15,1.0,1.0,,10.7,<0> ,40.38,<0> ,25.7,<0> ,116.4,<0> ,11.0,<0> ,0.43,<0> ,0.31,<3> ,8.7,<-3> [SQR] (CSM),4.0,<0> ,,<-1> ,,
noczbwq,P,01/10/2018 14:30,1.0,1.0,,10.1,<0> ,40.37,<0> ,25.7,<0> ,115.0,<0> ,11.0,<0> ,0.51,<0> ,0.39,<3> ,8.7,<-3> [SQR] (CSM),7.0,<0> ,,<-1> ,,
noczbwq,P,01/10/2018 14:45,1.0,1.0,,10.4,<0> ,40.3,<0> ,25.7,<0> ,116.5,<0> ,11.1,<0> ,0.58,<0> ,0.46,<3> ,8.7,<-3> [SQR] (CSM),4.0,<0> ,,<-1> ,,
noczbwq,P,01/10/2018 15:00,1.0,1.0,,10.3,<0> ,40.27,<0> ,25.6,<0> ,116.2,<0> ,11.1,<0> ,0.65,<0> ,0.53,<3> ,8.8,<-3> [SQR] (CSM),4.0,<0> ,,<-1> ,,
noczbwq,P,01/10/2018 15:15,1.0,1.0,,10.3,<0> ,40.27,<0> ,25.6,<0> ,116.2,<0> ,11.1,<0> ,0.71,<0> ,0.59,<3> ,8.8,<-3> [SQR] (CSM),4.0,<0> ,,<-1> ,,
noczbwq,P,01/10/2018 15:30,1.0,1.0,,10.3,<0> ,40.28,<0> ,25.6,<0> ,115.9,<0> ,11.0,<0> ,0.76,<0> ,0.64,<3> ,8.8,<-3> [SQR] (CSM),5.0,<0> ,,<-1> ,,
noczbwq,P,01/10/2018 15:45,1.0,1.0,,10.5,<0> ,40.3,<0> ,25.7,<0> ,114.8,<0> ,10.9,<0> ,0.79,<0> ,0.67,<3> ,8.7,<-3> [SQR] (CSM),8.0,<0> ,,<-1> ,,
noczbwq,P,01/11/2018 14:00,1.0,1.0,,19.8,<0> ,38.67,<0> ,24.7,<0> ,154.9,<0> ,12.2,<0> ,0.12,<0> ,0.03,<3> ,8.6,<-3> [SQR] (CSM),14.0,<0> ,,<-1> ,,
noczbwq,P,01/11/2018 14:15,1.0,1.0,,14.9,<0> ,39.44,<0> ,25.2,<0> ,121.7,<0> ,10.5,<0> ,0.15,<0> ,0.06,<3> ,8.6,<-3> [SQR] (CSM),4.0,<0> ,,<-1> ,,
noczbwq,P,01/11/2018 14:30,1.0,1.0,,14.6,<0> ,39.57,<0> ,25.3,<0> ,126.2,<0> ,11.0,<0> ,0.2,<0> ,0.11,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/11/2018 14:45,1.0,1.0,,15.7,<0> ,39.62,<0> ,25.3,<0> ,129.7,<0> ,11.0,<0> ,0.26,<0> ,0.17,<3> ,8.7,<-3> [SQR] (CSM),4.0,<0> ,,<-1> ,,
noczbwq,P,01/11/2018 15:00,1.0,1.0,,16.8,<0> ,39.29,<0> ,25.1,<0> ,133.0,<0> ,11.1,<0> ,0.33,<0> ,0.25,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/11/2018 15:15,1.0,1.0,,15.1,<0> ,39.7,<0> ,25.4,<0> ,129.1,<0> ,11.1,<0> ,0.41,<0> ,0.33,<3> ,8.7,<-3> [SQR] (CSM),2.0,<0> ,,<-1> ,,
noczbwq,P,01/11/2018 15:30,1.0,1.0,,14.7,<0> ,39.78,<0> ,25.4,<0> ,125.9,<0> ,10.9,<0> ,0.49,<0> ,0.41,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/11/2018 15:45,1.0,1.0,,14.4,<0> ,39.95,<0> ,25.5,<0> ,126.6,<0> ,11.1,<0> ,0.57,<0> ,0.49,<3> ,8.7,<-3> [SQR] (CSM),3.0,<0> ,,<-1> ,,
noczbwq,P,01/12/2018 14:00,1.0,1.0,,16.7,<0> ,32.43,<0> ,20.3,<0> ,96.8,<0> ,8.3,<0> ,0.03,<0> ,0.07,<3> ,8.5,<-3> [SQR] (CSM),121.0,<0> ,,<-1> ,,
noczbwq,P,01/12/2018 14:15,1.0,1.0,,16.7,<0> ,34.11,<0> ,21.5,<0> ,97.9,<0> ,8.4,<0> ,0.05,<0> ,0.1,<3> ,8.5,<-3> [SQR] (CSM),119.0,<0> ,,<-1> ,,
noczbwq,P,01/12/2018 14:30,1.0,1.0,,16.6,<0> ,34.39,<0> ,21.7,<0> ,99.9,<0> ,8.5,<0> ,0.07,<0> ,0.12,<3> ,8.6,<-3> [SQR] (CSM),75.0,<0> ,,<-1> ,,
noczbwq,P,01/12/2018 14:45,1.0,1.0,,16.8,<0> ,33.9,<0> ,21.3,<0> ,99.2,<0> ,8.5,<0> ,0.11,<0> ,0.16,<3> ,8.5,<-3> [SQR] (CSM),37.0,<0> ,,<-1> ,,
noczbwq,P,01/12/2018 15:00,1.0,1.0,,16.7,<0> ,34.36,<0> ,21.6,<0> ,101.3,<0> ,8.7,<0> ,0.15,<0> ,0.2,<3> ,8.6,<-3> [SQR] (CSM),26.0,<0> ,,<-1> ,,
noczbwq,P,01/12/2018 15:15,1.0,1.0,,16.2,<0> ,35.58,<0> ,22.5,<0> ,103.4,<0> ,8.9,<0> ,0.2,<0> ,0.25,<3> ,8.6,<-3> [SQR] (CSM),13.0,<0> ,,<-1> ,,
noczbwq,P,01/12/2018 15:30,1.0,1.0,,16.3,<0> ,34.08,<0> ,21.4,<0> ,103.7,<0> ,8.9,<0> ,0.25,<0> ,0.3,<3> ,8.6,<-3> [SQR] (CSM),23.0,<0> ,,<-1> ,,
noczbwq,P,01/12/2018 15:45,1.0,1.0,,16.1,<0> ,34.42,<0> ,21.7,<0> ,102.4,<0> ,8.8,<0> ,0.32,<0> ,0.37,<3> ,8.6,<-3> [SQR] (CSM),39.0,<0> ,,<-1> ,,
noczbwq,P,01/13/2018 14:00,1.0,1.0,,14.9,<0> ,33.72,<0> ,21.2,<0> ,104.2,<0> ,9.3,<0> ,0.01,<-3> [SOW],,<-3> [GCR],8.5,<-3> [SQR] (CSM),43.0,<0> ,,<-1> ,,
noczbwq,P,01/13/2018 14:15,1.0,1.0,,14.8,<0> ,33.86,<0> ,21.3,<0> ,102.4,<0> ,9.1,<0> ,0.01,<-3> [SOW],,<-3> [GCR],8.5,<-3> [SQR] (CSM),52.0,<0> ,,<-1> ,,
noczbwq,P,01/13/2018 14:30,1.0,1.0,,15.0,<0> ,33.61,<0> ,21.1,<0> ,105.5,<0> ,9.4,<0> ,0.01,<-3> [SOW],,<-3> [GCR],8.5,<-3> [SQR] (CSM),43.0,<0> ,,<-1> ,,
noczbwq,P,01/13/2018 14:45,1.0,1.0,,15.1,<0> ,33.6,<0> ,21.1,<0> ,105.3,<0> ,9.3,<0> ,0.01,<-3> [SOW],,<-3> [GCR],8.5,<-3> [SQR] (CSM),38.0,<0> ,,<-1> ,,
noczbwq,P,01/13/2018 15:00,1.0,1.0,,15.1,<0> ,33.65,<0> ,21.1,<0> ,105.7,<0> ,9.3,<0> ,0.02,<-3> [SOW],,<-3> [GCR],8.6,<-3> [SQR] (CSM),38.0,<0> ,,<-1> ,,
noczbwq,P,01/13/2018 15:15,1.0,1.0,,15.0,<0> ,33.23,<0> ,20.9,<0> ,106.1,<0> ,9.4,<0> ,0.02,<-3> [SOW],,<-3> [GCR],8.6,<-3> [SQR] (CSM),37.0,<0> ,,<-1> ,,
noczbwq,P,01/13/2018 15:30,1.0,1.0,,15.0,<0> ,31.14,<0> ,19.4,<0> ,115.1,<0> ,10.3,<0> ,0.02,<-3> [SOW],,<-3> [GCR],8.8,<-3> [SQR] (CSM),25.0,<0> ,,<-1> ,,
noczbwq,P,01/13/2018 15:45,1.0,1.0,,14.9,<0> ,31.03,<0> ,19.3,<0> ,122.8,<0> ,11.0,<0> ,0.02,<-3> [SOW],,<-3> [GCR],8.9,<-3> [SQR] (CSM),30.0,<0> ,,<-1> ,,
noczbwq,P,01/14/2018 14:00,1.0,1.0,,10.7,<0> ,37.42,<0> ,23.7,<0> ,122.5,<0> ,11.7,<0> ,0.18,<-3> [SOW],,<-3> [GCR],8.8,<-3> [SQR] (CSM),30.0,<0> ,,<-1> ,,
noczbwq,P,01/14/2018 14:15,1.0,1.0,,11.3,<0> ,37.23,<0> ,23.5,<0> ,122.5,<0> ,11.6,<0> ,0.17,<-3> [SOW],,<-3> [GCR],8.8,<-3> [SQR] (CSM),31.0,<0> ,,<-1> ,,
noczbwq,P,01/14/2018 14:30,1.0,1.0,,11.4,<0> ,37.24,<0> ,23.6,<0> ,122.7,<0> ,11.6,<0> ,0.16,<-3> [SOW],,<-3> [GCR],8.8,<-3> [SQR] (CSM),35.0,<0> ,,<-1> ,,
noczbwq,P,01/14/2018 14:45,1.0,1.0,,11.4,<0> ,37.33,<0> ,23.6,<0> ,123.4,<0> ,11.6,<0> ,0.16,<-3> [SOW],,<-3> [GCR],8.8,<-3> [SQR] (CSM),34.0,<0> ,,<-1> ,,
noczbwq,P,01/14/2018 15:00,1.0,1.0,,10.8,<0> ,37.46,<0> ,23.7,<0> ,127.3,<0> ,12.1,<0> ,0.16,<-3> [SOW],,<-3> [GCR],9.0,<-3> [SQR] (CSM),36.0,<0> ,,<-1> ,,
noczbwq,P,01/14/2018 15:15,1.0,1.0,,10.3,<0> ,37.6,<0> ,23.8,<0> ,125.1,<0> ,12.1,<0> ,0.16,<-3> [SOW],,<-3> [GCR],9.0,<-3> [SQR] (CSM),55.0,<0> ,,<-1> ,,
noczbwq,P,01/14/2018 15:30,1.0,1.0,,9.9,<0> ,37.61,<0> ,23.8,<0> ,120.3,<0> ,11.7,<0> ,0.16,<-3> [SOW],,<-3> [GCR],9.0,<-3> [SQR] (CSM),44.0,<0> ,,<-1> ,,
noczbwq,P,01/14/2018 15:45,1.0,1.0,,9.7,<0> ,37.65,<0> ,23.8,<0> ,127.9,<0> ,12.5,<0> ,0.16,<-3> [SOW],,<-3> [GCR],9.0,<-3> [SQR] (CSM),30.0,<0> ,,<-1> ,,
noczbwq,P,01/15/2018 14:00,1.0,1.0,,6.3,<0> ,37.7,<0> ,23.6,<0> ,117.1,<0> ,12.4,<0> ,0.28,<0> ,0.13,<3> ,8.8,<-3> [SQR] (CSM),7.0,<0> ,,<-1> ,,
noczbwq,P,01/15/2018 14:15,1.0,1.0,,6.8,<0> ,37.72,<0> ,23.7,<0> ,117.2,<0> ,12.2,<0> ,0.25,<0> ,0.1,<3> ,8.8,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
